clone	tree_id	cell_id	node_name
bulk	s0	0	ss0
1	s1	1	ss1
1	s2	2	ss2
1	s3	3	ss3
1	s4	4	ss4
1	s5	5	ss5
1	s6	6	ss6
1	s7	7	ss7
1	s8	8	ss8
1	s9	9	ss9
1	s10	10	ss10
2	s11	11	ss11
2	s12	12	ss12
2	s13	13	ss13
2	s14	14	ss14
2	s15	15	ss15
2	s16	16	ss16
2	s17	17	ss17
2	s18	18	ss18
2	s19	19	ss19
2	s20	20	ss20
3	s21	21	ss21
3	s22	22	ss22
3	s23	23	ss23
3	s24	24	ss24
3	s25	25	ss25
3	s26	26	ss26
3	s27	27	ss27
3	s28	28	ss28
3	s29	29	ss29
3	s30	30	ss30
4	s31	31	ss31
4	s32	32	ss32
4	s33	33	ss33
4	s34	34	ss34
4	s35	35	ss35
4	s36	36	ss36
4	s37	37	ss37
4	s38	38	ss38
4	s39	39	ss39
4	s40	40	ss40
5	s41	41	ss41
5	s42	42	ss42
5	s43	43	ss43
5	s44	44	ss44
5	s45	45	ss45
5	s46	46	ss46
5	s47	47	ss47
5	s48	48	ss48
5	s49	49	ss49
5	s50	50	ss50
6	s51	51	ss51
6	s52	52	ss52
6	s53	53	ss53
6	s54	54	ss54
6	s55	55	ss55
6	s56	56	ss56
6	s57	57	ss57
6	s58	58	ss58
6	s59	59	ss59
6	s60	60	ss60
7	s61	61	ss61
7	s62	62	ss62
7	s63	63	ss63
7	s64	64	ss64
7	s65	65	ss65
7	s66	66	ss66
7	s67	67	ss67
7	s68	68	ss68
7	s69	69	ss69
7	s70	70	ss70
8	s71	71	ss71
8	s72	72	ss72
8	s73	73	ss73
8	s74	74	ss74
8	s75	75	ss75
8	s76	76	ss76
8	s77	77	ss77
8	s78	78	ss78
8	s79	79	ss79
8	s80	80	ss80
9	s81	81	ss81
9	s82	82	ss82
9	s83	83	ss83
9	s84	84	ss84
9	s85	85	ss85
9	s86	86	ss86
9	s87	87	ss87
9	s88	88	ss88
9	s89	89	ss89
9	s90	90	ss90
10	s91	91	ss91
10	s92	92	ss92
10	s93	93	ss93
10	s94	94	ss94
10	s95	95	ss95
10	s96	96	ss96
10	s97	97	ss97
10	s98	98	ss98
10	s99	99	ss99
10	s100	100	ss100
